ALPHA,CA-FRIC,CA-PRES/WAVE CA-BASE,CA-PROT,CA-SEP,CA-ALP
-30.00,0.0349,0.1098,0.0015,0.0562,0.0000
-25.00,0.0382,0.1120,0.0015,0.0615,0.0000
-20.00,0.0411,0.1137,0.0016,0.0661,0.0000
-15.00,0.0434,0.1150,0.0016,0.0699,0.0000
-10.00,0.0451,0.1159,0.0017,0.0726,0.0000
-5.00,0.0461,0.1165,0.0017,0.0743,0.0000
0.00,0.0465,0.1167,0.0017,0.0749,0.0000
5.00,0.0461,0.1165,0.0017,0.0743,0.0000
10.00,0.0451,0.1159,0.0017,0.0726,0.0000
15.00,0.0434,0.1150,0.0016,0.0699,0.0000
20.00,0.0411,0.1137,0.0016,0.0661,0.0000
25.00,0.0382,0.1120,0.0015,0.0615,0.0000
30.00,0.0349,0.1098,0.0015,0.0562,0.0000
