ALPHA,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-30.0,0.613,-2.564,-0.027,0.007,-0.03,-0.032
-25.0,0.625,-2.618,-0.009,0.002,-0.009,-0.034
-20.0,0.63,-2.639,0.002,0.0,0.001,-0.035
-15.0,0.629,-2.635,0.006,-0.001,0.004,-0.034
-10.0,0.628,-2.63,0.004,-0.001,0.004,-0.033
-5.0,0.634,-2.658,0.001,0.0,0.001,-0.032
0.0,0.645,-2.703,0.0,0.0,0.0,-0.03
5.0,0.634,-2.658,-0.001,0.0,-0.001,-0.032
10.0,0.628,-2.63,-0.004,0.001,-0.004,-0.033
15.0,0.629,-2.635,-0.006,0.001,-0.004,-0.034
20.0,0.63,-2.639,-0.002,0.0,-0.001,-0.035
25.0,0.625,-2.618,0.009,-0.002,0.009,-0.034
30.0,0.613,-2.564,0.027,-0.007,0.03,-0.032
